to_node	from_node	metric	failure_prob	d_prob	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20
1.0	5.0	1000.0	0.0005823819872153	0.00046590558977224	0.00029119099360765	0.00029119099360765	0.00029119099360765	0.00029119099360765	0.00029119099360765	0.00029119099360765	0.00029119099360765	0.00029119099360765	0.00029119099360765	0.00029119099360765	0.00029119099360765	0.00029119099360765	0.00029119099360765	0.00029119099360765	0.00029119099360765	0.00029119099360765	1.0	0.00029119099360765	0.00029119099360765	0.00029119099360765	0.00029119099360765
1.0	6.0	1000.0	0.0014712701504022	0.00117701612032176	0.0007356350752011	0.0007356350752011	0.0007356350752011	0.0007356350752011	0.0007356350752011	0.0007356350752011	0.0007356350752011	0.0007356350752011	0.0007356350752011	0.0007356350752011	1.0	0.0007356350752011	0.0007356350752011	0.0007356350752011	0.0007356350752011	0.0007356350752011	0.0007356350752011	0.0007356350752011	0.0007356350752011	0.0007356350752011	0.0007356350752011
1.0	17.0	1000.0	0.0018180377945133	0.00145443023561064	0.00090901889725665	0.00090901889725665	0.00090901889725665	0.00090901889725665	0.00090901889725665	0.00090901889725665	0.00090901889725665	0.00090901889725665	0.00090901889725665	0.00090901889725665	0.00090901889725665	0.00090901889725665	0.00090901889725665	1.0	0.00090901889725665	0.00090901889725665	0.00090901889725665	0.00090901889725665	0.00090901889725665	0.00090901889725665	0.00090901889725665
2.0	3.0	1000.0	0.0003312410007185	0.0002649928005748	0.00016562050035925	0.00016562050035925	1.0	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925
2.0	4.0	1000.0	0.0001249775804426	9.998206435408001e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05
2.0	9.0	1000.0	0.0061124016491001	0.00488992131928008	0.00305620082455005	0.00305620082455005	0.00305620082455005	0.00305620082455005	0.00305620082455005	0.00305620082455005	0.00305620082455005	0.00305620082455005	0.00305620082455005	0.00305620082455005	0.00305620082455005	0.00305620082455005	0.00305620082455005	0.00305620082455005	0.00305620082455005	0.00305620082455005	0.00305620082455005	0.00305620082455005	0.00305620082455005	1.0	0.00305620082455005
3.0	2.0	1000.0	0.0003312410007185	0.0002649928005748	0.00016562050035925	0.00016562050035925	1.0	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925	0.00016562050035925
3.0	10.0	1000.0	1.3054973985484508e-06	1.0443979188387606e-06	6.527486992742254e-07	6.527486992742254e-07	6.527486992742254e-07	6.527486992742254e-07	6.527486992742254e-07	6.527486992742254e-07	6.527486992742254e-07	6.527486992742254e-07	6.527486992742254e-07	6.527486992742254e-07	6.527486992742254e-07	6.527486992742254e-07	6.527486992742254e-07	6.527486992742254e-07	6.527486992742254e-07	6.527486992742254e-07	6.527486992742254e-07	6.527486992742254e-07	6.527486992742254e-07	6.527486992742254e-07	6.527486992742254e-07
4.0	2.0	1000.0	0.0001249775804426	9.998206435408001e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05	6.24887902213e-05
4.0	5.0	1000.0	0.0034194042281571	0.00273552338252568	0.00170970211407855	0.00170970211407855	0.00170970211407855	1.0	0.00170970211407855	0.00170970211407855	0.00170970211407855	0.00170970211407855	0.00170970211407855	0.00170970211407855	0.00170970211407855	0.00170970211407855	0.00170970211407855	0.00170970211407855	0.00170970211407855	0.00170970211407855	0.00170970211407855	0.00170970211407855	0.00170970211407855	0.00170970211407855	0.00170970211407855
