to_node	from_node	metric	failure_prob	d_prob	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16
1.0	2.0	1000.0	0.0019339158446117	0.00154713267568936	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0	0.0014504368834587751
1.0	3.0	1000.0	0.0005823819872153	0.00046590558977224	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.0
2.0	1.0	1000.0	0.0019339158446117	0.00154713267568936	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0014504368834587751	0.0	0.0014504368834587751
2.0	5.0	1000.0	0.0014712701504022	0.00117701612032176	0.0011034526128016501	0.0011034526128016501	0.0011034526128016501	0.0011034526128016501	0.0011034526128016501	0.0011034526128016501	0.0011034526128016501	0.0011034526128016501	0.0011034526128016501	0.0011034526128016501	0.0	0.0011034526128016501	0.0011034526128016501	0.0011034526128016501	0.0011034526128016501	0.0011034526128016501	0.0011034526128016501
3.0	1.0	1000.0	0.0005823819872153	0.00046590558977224	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.00043678649041147504	0.0
3.0	4.0	1000.0	0.0003312410007185	0.0002649928005748	0.000248430750538875	0.000248430750538875	0.0	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875
3.0	6.0	1000.0	0.0010986729880215	0.0008789383904172001	0.0008240047410161251	0.0008240047410161251	0.0008240047410161251	0.0008240047410161251	0.0	0.0008240047410161251	0.0008240047410161251	0.0008240047410161251	0.0008240047410161251	0.0008240047410161251	0.0008240047410161251	0.0008240047410161251	0.0008240047410161251	0.0008240047410161251	0.0008240047410161251	0.0008240047410161251	0.0008240047410161251
4.0	3.0	1000.0	0.0003312410007185	0.0002649928005748	0.000248430750538875	0.000248430750538875	0.0	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875	0.000248430750538875
4.0	5.0	1000.0	0.001340051819959	0.0010720414559672001	0.00100503886496925	0.00100503886496925	0.00100503886496925	0.00100503886496925	0.00100503886496925	0.00100503886496925	0.00100503886496925	0.00100503886496925	0.00100503886496925	0.00100503886496925	0.00100503886496925	0.00100503886496925	0.0	0.00100503886496925	0.00100503886496925	0.00100503886496925	0.00100503886496925
4.0	7.0	1000.0	0.0005578217360809	0.00044625738886472	0.000418366302060675	0.000418366302060675	0.000418366302060675	0.000418366302060675	0.000418366302060675	0.000418366302060675	0.0	0.000418366302060675	0.000418366302060675	0.000418366302060675	0.000418366302060675	0.000418366302060675	0.000418366302060675	0.000418366302060675	0.000418366302060675	0.000418366302060675	0.000418366302060675
